CLAMATO ID,RA,DEC,z
c17_60L_zph2.3_32330_F.fits,150.35461,2.14912,2.272
c17_60L_zph2.5_12291_F.fits,150.35986,2.24675,2.455
c17_60L_zph2.5_12400_F.fits,150.32335,2.18807,2.502
c17_60L_zph2.6_12359_F.fits,150.36682,2.21295,2.483
c17_60L_zph2.6_12375_F.fits,150.32465,2.20695,2.49
c17_60L_zph2.6_12432_F.fits,150.36377,2.16507,2.576
c17_60L_zph2.6_32321_F.fits,150.36781,2.15833,2.614
c17_60L_zph2.7_12334_F.fits,150.38455,2.22249,2.728
c17_60L_zph2.9_32309_F.fits,150.31273,2.17346,2.67
c17_60L_zsp2.3_00826_F.fits,150.31908,2.16216,2.313
c17_60L_zsp2.5_00794_F.fits,150.31914,2.22503,2.493
c17_60L_zsp2.6_00819_F.fits,150.37843,2.17079,2.551
c17_60L_zsp2.6_01719_F.fits,150.31601,2.24457,2.583
c17_60L_zsp2.7_00788_F.fits,150.39108,2.24033,2.738
c17_60L_zsp2.7_00802_F.fits,150.34006,2.20841,2.729
pc22L_zph2.3_17733_F.fits,150.14896,2.4883,2.38
pc22L_zph2.5_26344_F.fits,150.10031,2.46256,2.477
pc22L_zph2.8_33515_F.fits,150.15773,2.4089,2.463
sp18_zph2.5_15320_F.fits,150.00002,2.42489,2.63
sp18_zph2.6_15055_F.fits,150.0636,2.42693,2.52
sp18_zph2.7_34724_F.fits,150.05705,2.4823,2.392
sp18_zsp2.4_01220_F.fits,150.06973,2.45253,2.423
sp15l_zph2.5_15385_F.fits,149.94215,2.36591,2.477
sp15l_zph2.5_15435_F.fits,149.95938,2.33549,2.506
sp15l_zph2.6_33610_F.fits,149.99947,2.33633,2.583
sp15l_zsp2.6_01875_F.fits,149.93594,2.29014,2.552
sp15l_zsp2.7_01354_F.fits,149.94077,2.30644,2.681
