# Filename			 ID      g-mag  Conf   zspec   RA           Dec      S/N_lowz S/N_hiz
    cpilot08_zph2.5_12639_F.fits 12639   25.18   2.0   2.420  150.12251    2.21034    -9.0    -9.0
    cpilot08_zph3.0_12716_F.fits 12716   25.20   2.0   2.986  150.12213    2.16511    -9.0    -9.0
    cpilot08_zsp2.2_00885_F.fits 00885   24.21   3.0   2.225  150.11934    2.22412     1.5    -9.0
    cpilot08_zsp2.2_00904_F.fits 00904   24.59   1.0   2.050  150.10156    2.18919    -9.0    -9.0
    cpilot08_zsp2.2_00925_F.fits 00925   24.08   3.0   2.231  150.16074    2.15474     1.5    -9.0
    cpilot08_zsp2.3_00872_F.fits 00872   24.64   0.0   0.000  150.14267    2.24889    -9.0    -9.0
    cpilot08_zsp2.3_00892_F.fits 00892   23.65   4.0   2.324  150.10474    2.21573     5.5    -9.0
    cpilot08_zsp2.4_00877_F.fits 00877   24.17   3.0   2.432  150.12111    2.23542     3.6     3.3
    cpilot08_zsp2.4_00909_F.fits 00909   24.62   3.0   2.080  150.10237    2.17952    -9.0    -9.0
    cpilot08_zsp2.6_01870_F.fits 01870   24.08   2.0   2.613  150.12697    2.14764    -9.0    -9.0
    cpilot08_zsp2.7_00889_F.fits 00889   24.35   3.0   2.702  150.14442    2.21977     1.2     1.3
    cpilot08_zsp2.7_00903_F.fits 00903   24.71   4.0   2.688  150.12050    2.19230     2.3     2.0
    cpilot08_zsp2.7_00933_F.fits 00933   24.89   3.0   2.690  150.10455    2.13738     0.7     0.9
    cpilot08_zsp2.8_00922_F.fits 00922   24.00   4.0   2.828  150.11742    2.15873     2.5     2.7
    cpilot03_zph2.3_15449_F.fits 15449   23.53   4.0   2.090  149.97592    2.33116    -9.0    -9.0
    cpilot03_zph2.3_15488_F.fits 15488   24.58   2.0   2.165  149.98756    2.30862    -9.0    -9.0
    cpilot03_zph2.3_15506_F.fits 15506   23.55   4.0   2.097  149.97438    2.30179    -9.0    -9.0
    cpilot03_zph2.4_12806_F.fits 12806   25.23   0.0   0.000  149.95900    2.27376    -9.0    -9.0
    cpilot03_zph2.4_15492_F.fits 15492   23.82   3.0   2.555  149.95932    2.30758     2.0     2.2
    cpilot03_zph2.5_12818_F.fits 12818   24.78   0.0   0.000  150.01292    2.26287    -9.0    -9.0
    cpilot03_zph2.6_12812_F.fits 12812   24.29   2.0   2.420  150.01990    2.26976    -9.0    -9.0
    cpilot03_zph2.6_15280_F.fits 15280   24.72   2.0   3.050  150.00586    2.29505    -9.0    -9.0
    cpilot03_zph2.6_15426_F.fits 15426   24.29   2.0   2.640  149.99615    2.33984    -9.0    -9.0
    cpilot03_zph2.7_15447_F.fits 15447   24.07   2.0   2.860  150.00713    2.33233    -9.0    -9.0
    cpilot03_zph2.7_15456_F.fits 15456   25.01   3.0   2.860  150.01067    2.32952     0.8     0.9
    cpilot03_zph2.7_15483_F.fits 15483   25.23   3.0   3.005  149.97903    2.31297    -9.0     1.2
    cpilot03_zsp2.3_01330_F.fits 01330   23.75   3.0   2.256  149.99364    2.36083     5.3    -9.0
    cpilot03_zsp2.4_01878_F.fits 01878   24.48   2.0   2.445  149.94530    2.26423    -9.0    -9.0
    cpilot03_zsp2.5_01345_F.fits 01345   25.09   2.0   2.467  150.01180    2.32297    -9.0    -9.0
    cpilot03_zsp2.6_01352_F.fits 01352   24.44   3.0   2.624  150.01968    2.31087     3.2     2.4
    cpilot03_zsp2.7_00951_F.fits 00951   23.55  14.0   2.673  150.01820    2.25944     5.9     6.2
    cpilot03_zsp2.8_01333_F.fits 01333   24.34   3.0   2.828  149.95540    2.35886     1.1     1.2
    cpilot12_zph2.2_15154_F.fits 15154   24.95   0.0   0.000  150.17531    2.36543    -9.0    -9.0
    cpilot12_zph2.3_15184_F.fits 15184   24.68   0.0   0.000  150.16815    2.34838    -9.0    -9.0
    cpilot12_zph2.3_15232_F.fits 15232   24.82   0.0   0.000  150.20374    2.31838    -9.0    -9.0
    cpilot12_zph2.4_12496_F.fits 12496   24.42   1.0   2.000  150.22382    2.28542    -9.0    -9.0
    cpilot12_zph2.4_12543_F.fits 12543   25.17   0.0   0.000  150.22577    2.25156    -9.0    -9.0
    cpilot12_zph2.4_14888_F.fits 14888   24.45   2.0   2.278  150.24263    2.35848    -9.0    -9.0
    cpilot12_zph2.4_14925_F.fits 14925   24.01   4.0   2.456  150.23189    2.33713     4.5     4.2
    cpilot12_zph2.4_15146_F.fits 15146   24.95   3.0   2.520  150.22118    2.37094     1.5     1.5
    cpilot12_zph2.5_12503_F.fits 12503   25.00   0.0   0.000  150.19620    2.28222    -9.0    -9.0
    cpilot12_zph2.6_12247_F.fits 12247   24.68   2.0   2.525  150.24257    2.27782    -9.0    -9.0
    cpilot12_zph2.6_12517_F.fits 12517   24.87   2.0   2.150  150.21954    2.26918    -9.0    -9.0
    cpilot12_zph2.6_14947_F.fits 14947   24.15   3.0   2.505  150.23460    2.33237     3.7     3.6
    cpilot12_zph2.6_15161_F.fits 15161   24.95   1.0   2.500  150.22186    2.36248    -9.0    -9.0
    cpilot12_zph2.6_15173_F.fits 15173   24.04   3.0   2.507  150.22505    2.35619     1.6     1.7
    cpilot12_zph2.8_12509_F.fits 12509   24.32   4.0   2.802  150.17856    2.27531     1.6     1.7
    cpilot12_zph2.8_15175_F.fits 15175   24.76   3.0   2.863  150.17850    2.35356     3.4     3.1
    cpilot12_zph2.8_15190_F.fits 15190   24.72   2.0   2.810  150.19965    2.34544    -9.0    -9.0
    cpilot12_zph2.8_15247_F.fits 15247   24.27   3.0   2.870  150.17587    2.30976     4.0     3.6
    cpilot12_zsp2.5_00864_F.fits 00864   24.20   4.0   2.448  150.18446    2.26626     2.0     2.1
    cpilot12_zsp2.5_01268_F.fits 01268   24.47   4.0   2.460  150.21138    2.32292     1.3     1.4
    cpilot12_zsp2.5_01274_F.fits 01274   24.11   4.0   2.491  150.22343    2.30720     2.4     2.6
    cpilot12_zsp2.5_01678_F.fits 01678   24.38  14.0   2.484  150.22528    2.35120     2.3     4.6
    cpilot12_zsp2.6_01757_F.fits 01757   24.69   0.0   0.000  150.17931    2.32869    -9.0    -9.0
    cpilot12_zsp2.7_01272_F.fits 01272   24.55   4.0   2.738  150.19978    2.31550     1.4     1.7
    cpilot12_zsp2.8_01723_F.fits 01723   23.97   4.0   2.785  150.22133    2.28813     2.3     2.3
       npc05_zph2.2_26411_F.fits 26411   24.94   0.0   0.000  150.07680    2.21059    -9.0    -9.0
       npc05_zph2.3_12595_F.fits 12595   24.92   3.0   2.303  150.07341    2.23328     1.7    -9.0
       npc05_zph2.3_12701_F.fits 12701   23.90   4.0   2.486  150.07675    2.17348     2.9     3.0
       npc05_zph2.3_12713_F.fits 12713   24.43   2.0   2.156  150.06351    2.16658    -9.0    -9.0
       npc05_zph2.5_12653_F.fits 12653   24.82   2.0   2.300  150.06866    2.18897    -9.0    -9.0
       npc05_zsp2.3_00964_F.fits 00964   24.42   3.0   2.283  150.05905    2.24059     2.4    -9.0
       npc05_zsp2.4_01861_F.fits 01861   24.53   3.0   2.437  150.08061    2.24284     1.4     1.6
       npc05_zsp2.4_12612_F.fits 12612   24.89   3.0   2.439  150.07147    2.22387     0.8     0.9
       npc05_zsp2.8_01867_F.fits 01867   24.87   3.0   2.815  150.09262    2.16409     1.8     1.8
      c16_24_zph2.3_15045_F.fits 15045   25.21   1.0   1.940  150.17540    2.43512    -9.0    -9.0
      c16_24_zph2.3_15113_F.fits 15113   24.41   2.0   2.197  150.18134    2.38762    -9.0    -9.0
      c16_24_zph2.4_15103_F.fits 15103   24.48   1.0   2.645  150.22504    2.39841    -9.0    -9.0
      c16_24_zph2.4_15121_F.fits 15121   24.80   2.0   2.373  150.21660    2.37826    -9.0    -9.0
      c16_24_zph2.4_17747_F.fits 17747   24.21   3.0   0.368  150.17639    2.47854    -9.0    -9.0
      c16_24_zph2.6_15065_F.fits 15065   24.92   2.0   3.030  150.20331    2.41925    -9.0    -9.0
      c16_24_zph2.6_17723_F.fits 17723   23.87   4.0   2.645  150.21797    2.49178     2.2     2.2
      c16_24_zph2.6_26496_F.fits 26496   24.85   3.0   2.508  150.22661    2.37556     1.0     1.0
      c16_24_zph2.6_26501_F.fits 26501   24.38   0.0   0.000  150.21675    2.36974    -9.0    -9.0
      c16_24_zph2.7_14728_F.fits 14728   25.11   0.0   0.000  150.24400    2.45145    -9.0    -9.0
      c16_24_zph2.7_15070_F.fits 15070   24.07   4.0   2.828  150.22562    2.41798     3.8     3.6
      c16_24_zph2.7_17497_F.fits 17497   25.10   2.0   2.660  150.22946    2.47711    -9.0    -9.0
      c16_24_zph2.8_14797_F.fits 14797   24.45   4.0   2.817  150.23259    2.38661     2.5     2.3
      c16_24_zph2.8_15039_F.fits 15039   24.79  12.0   1.100  150.21669    2.44589    -9.0    -9.0
      c16_24_zph2.8_15124_F.fits 15124   25.26   3.0   2.682  150.19174    2.37985     0.6     0.6
      c16_24_zph2.9_14793_F.fits 14793   24.91   3.0   2.790  150.24431    2.40765     1.6     1.6
      c16_24_zsp2.3_01547_F.fits 01547   25.05   3.0   2.640  150.20857    2.46274     0.9     1.0
      c16_24_zsp2.5_01544_F.fits 01544   24.78   0.0   0.000  150.21091    2.47198    -9.0    -9.0
      c16_24_zsp2.5_01778_F.fits 01778   24.79   1.0   2.490  150.19771    2.48577    -9.0    -9.0
      c16_24_zsp2.6_01219_F.fits 01219   24.70   3.0   2.580  150.20456    2.45545     1.4     1.6
      c16_24_zsp2.7_01779_F.fits 01779   24.74   4.0   2.676  150.20668    2.48269     1.8     1.8
      c16_24_zsp2.8_01551_F.fits 01551   24.55   4.0   2.825  150.22244    2.46088     2.5     2.5
      c16_11_zph2.3_12434_F.fits 12434   24.73   1.0   2.128  150.23575    2.16610    -9.0    -9.0
      c16_11_zph2.3_12690_F.fits 12690   24.16   0.0   0.000  150.21985    2.17724    -9.0    -9.0
      c16_11_zph2.4_12707_F.fits 12707   24.12   3.0   2.370  150.20447    2.17102     2.1    -9.0
      c16_11_zph2.4_12732_F.fits 12732   24.73   2.0   2.436  150.18266    2.15479    -9.0    -9.0
      c16_11_zph2.4_12751_F.fits 12751   24.96   2.0   2.170  150.16977    2.14087    -9.0    -9.0
      c16_11_zph2.5_12304_F.fits 12304   24.63   3.0   2.493  150.22772    2.23602     2.1     1.9
      c16_11_zph2.5_12340_F.fits 12340   25.15   2.0   2.430  150.23683    2.22116    -9.0    -9.0
      c16_11_zph2.5_12381_F.fits 12381   24.05   2.0   2.155  150.24112    2.20320    -9.0    -9.0
      c16_11_zph2.5_12634_F.fits 12634   24.19   4.0   2.480  150.18759    2.20976     3.3     3.5
      c16_11_zph2.5_12700_F.fits 12700   23.85   3.0   0.000  150.19737    2.17439    -9.0    -9.0
      c16_11_zph2.6_12552_F.fits 12552   25.21   2.0   3.170  150.21980    2.25306    -9.0    -9.0
      c16_11_zph2.6_12636_F.fits 12636   24.53   1.0   2.183  150.19914    2.21268    -9.0    -9.0
      c16_11_zph2.6_12755_F.fits 12755   24.87   2.0   2.400  150.17375    2.13822    -9.0    -9.0
      c16_11_zph2.9_12562_F.fits 12562   24.57   4.0   2.831  150.16736    2.24386     1.4     1.6
      c16_11_zph2.9_12564_F.fits 12564   24.82   3.0   2.933  150.22583    2.23847    -9.0     2.7
      c16_11_zph2.9_26396_F.fits 26396   21.64  14.0   1.506  150.19977    2.19085    -9.0    -9.0
      c16_11_zph2.9_26408_F.fits 26408   24.81   2.0   2.200  150.17055    2.20794    -9.0    -9.0
      c16_11_zsp2.3_00869_F.fits 00869   24.10   3.0   1.867  150.20770    2.24989    -9.0    -9.0
      c16_11_zsp2.3_00873_F.fits 00873   24.62   3.0   2.367  150.19859    2.24642     2.8    -9.0
      c16_11_zsp2.4_00884_F.fits 00884   24.23   4.0   2.437  150.20885    2.22566     2.7     2.8
      c16_11_zsp2.5_00834_F.fits 00834   25.07   3.0   2.638  150.23257    2.14658     1.6     1.6
      c16_11_zsp2.5_00890_F.fits 00890   24.06   3.0   1.740  150.16846    2.21744    -9.0    -9.0
      c16_11_zsp2.6_00898_F.fits 00898   24.95   4.0   2.627  150.20271    2.20034     2.4     2.2
      c16_11_zsp2.9_01728_F.fits 01728   24.97   2.0   2.850  150.22458    2.14363    -9.0    -9.0
      c16_20_zph2.4_15290_F.fits 15290   24.45   0.0   0.000  150.05946    2.45091    -9.0    -9.0
      c16_20_zph2.4_17955_F.fits 17955   25.20   2.0   2.540  150.03116    2.46887    -9.0    -9.0
      c16_20_zph2.6_15293_F.fits 15293   25.23   0.0   0.000  150.05051    2.44384    -9.0    -9.0
      c16_20_zph2.6_17715_F.fits 17715   24.95   3.0   2.536  150.09602    2.49511     1.3     1.3
      c16_20_zph2.6_26486_F.fits 26486   24.61   3.0   2.550  150.06027    2.38770     1.5     1.5
      c16_20_zph2.8_15319_F.fits 15319   24.18   2.0   2.700  150.05589    2.42358    -9.0    -9.0
      c16_20_zsp2.5_01232_F.fits 01232   24.64  14.0   2.470  150.06406    2.41334     0.8     1.8
      c16_20_zsp2.5_01235_F.fits 01235   22.86  14.0   2.476  150.09154    2.39908     7.1    13.2
      c16_20_zsp2.5_01241_F.fits 01241   23.72   4.0   2.466  150.07576    2.38064     1.7     1.8
      c16_20_zsp2.5_01543_F.fits 01543   24.80   0.0   0.000  150.07571    2.47717    -9.0    -9.0
      c16_20_zsp2.5_15323_F.fits 15323   25.16   2.0   2.552  150.05933    2.42129    -9.0    -9.0
      c16_20_zsp2.7_01233_F.fits 01233   24.20   4.0   2.702  150.08762    2.39438     1.4     1.5
